protein name,genes name
A0A087WWU8,TPM3;DKFZp686J1372
J3KTA4,DDX5
P63241,EIF5A;EIF5AL1
Q16777,HIST2H2AC;HIST2H2AA3
U3KQK0,HIST1H2BN;HIST1H2BL;HIST1H2BM;HIST1H2BH;HIST2H2BF;HIST1H2BC;HIST1H2BD;H2BFS;HIST1H2BK;HIST1H2BA
A0A0U1RR32,HIST1H2AJ;HIST1H2AH;H2AFJ;HIST2H2AC;HIST1H2AC;HIST3H2A;HIST2H2AA3;HIST1H2AD;HIST1H2AG;HIST1H2AB;HIST1H2AA;H2AFX
P26599,PTBP1
P62701,RPS4X
U3KQK0,HIST1H2BN;HIST1H2BM;HIST1H2BH;HIST2H2BF;HIST1H2BC;HIST1H2BD;H2BFS;HIST1H2BK;HIST1H2BL;HIST2H2BE;HIST1H2BB;HIST1H2BO;HIST1H2BJ;HIST1H2BA
P11940,PABPC1
Q13813-3,SPTAN1
P06748,NPM1
Q99878,HIST1H2AJ;HIST1H2AH;H2AFJ;HIST2H2AC;HIST1H2AC;HIST2H2AA3;HIST1H2AG;HIST1H2AA
P16403,HIST1H1C;HIST1H1D
P22314-2,UBA1
Q71DI3,HIST2H3A;HIST3H3;HIST1H3A;H3F3B;H3F3A;H3F3C
I3L397,EIF5A;EIF5AL1
Q99878,HIST1H2AJ;HIST1H2AH;H2AFJ;HIST2H2AC;HIST1H2AC;HIST2H2AA3;HIST1H2AG;HIST1H2AA;HIST2H2AB
P61978-2,HNRNPK
U3KQK0,HIST1H2BN;HIST1H2BM;HIST1H2BH;HIST2H2BF;HIST1H2BC;HIST1H2BD;H2BFS;HIST1H2BK
P09651,HNRNPA1
Q99878,HIST1H2AJ;HIST1H2AH;H2AFJ;HIST2H2AC;HIST1H2AC;HIST2H2AA3;HIST1H2AG;HIST3H2A;HIST1H2AD;HIST1H2AB;HIST1H2AA;H2AFX
Q8NC51-2,SERBP1
Q9HB71-3,CACYBP
Q5T7C4,HMGB1
Q99878,HIST1H2AJ;HIST1H2AH;H2AFJ;HIST2H2AC;HIST1H2AC;HIST2H2AA3;HIST1H2AG;HIST3H2A;HIST1H2AD;HIST1H2AB;HIST1H2AA
D6RAT0,RPS3A
Q01105,SET;SETSIP
B4DY08,HNRNPC;HNRNPCL4;HNRNPCL1;HNRNPCL3;HNRNPCL2
H0Y8C6,IPO5
U3KQK0,HIST1H2BN;HIST1H2BM;HIST1H2BH;HIST2H2BF;HIST1H2BC;HIST1H2BD;HIST1H2BK;HIST1H2BL;H2BFS
Q99878,HIST1H2AJ;HIST1H2AH;H2AFJ;HIST2H2AC;HIST1H2AC;HIST2H2AA3;HIST1H2AG;HIST3H2A;HIST1H2AD;HIST1H2AB;HIST1H2AA;HIST2H2AB
P61254,RPL26;RPL26L1
P62701,RPS4X;RPS4Y2;RPS4Y1
E7EQV3,PABPC1;PABPC3
Q6S8J3,POTEE;POTEF;POTEKP
P62701,RPS4X;RPS4Y1;RPS4Y2
A0A0U1RR32,HIST1H2AJ;HIST1H2AH;H2AFJ;HIST1H2AC;HIST3H2A;HIST1H2AD;HIST1H2AG;HIST1H2AB;HIST1H2AA
F5H2F4,MTHFD1
U3KQK0,HIST1H2BN;HIST1H2BM;HIST1H2BH;HIST2H2BF;HIST1H2BC;HIST1H2BD;HIST1H2BK;H2BFS
P62979,RPS27A
Q15366-3,PCBP2
Q6S8J3,POTEE;POTEKP
Q99878,HIST1H2AJ;HIST1H2AH;H2AFJ;HIST2H2AC;HIST1H2AC;HIST2H2AA3;HIST1H2AG;HIST3H2A;HIST1H2AD;HIST1H2AB;HIST1H2AA;H2AFX;HIST2H2AB
A0A0U1RR32,HIST3H2A;HIST1H2AD;HIST1H2AB;HIST1H2AJ;HIST1H2AH;H2AFJ;HIST1H2AC;HIST1H2AG;HIST2H2AC;HIST2H2AA3;H2AFX;HIST1H2AA
P63241,EIF5A;EIF5AL1;EIF5A2
Q5TEC6,HIST2H3PS2;H3F3B;H3F3A;H3F3C;HIST2H3A;HIST3H3;HIST1H3A
P50990-2,CCT8
U3KQK0,HIST1H2BN;HIST1H2BL;HIST1H2BM;HIST1H2BH;HIST2H2BF;HIST1H2BC;HIST1H2BD;H2BFS;HIST1H2BK;HIST2H2BE;HIST1H2BB;HIST1H2BO;HIST1H2BJ;HIST1H2BA
P00558-2,PGK1
P46777,RPL5
U3KQK0,HIST1H2BN;HIST1H2BL;HIST1H2BM;HIST1H2BH;HIST2H2BF;HIST1H2BC;HIST1H2BD;HIST1H2BK;H2BFS;HIST1H2BA
P68133,ACTA1;ACTC1;ACTA2;ACTG2
A0A0D9SGF6,SPTAN1
A0A0U1RR32,HIST1H2AJ;HIST1H2AH;H2AFJ;HIST2H2AC;HIST1H2AC;HIST3H2A;HIST2H2AA3;HIST1H2AD;HIST1H2AG;HIST1H2AB;HIST1H2AA
G3V576,HNRNPC;HNRNPCL4;HNRNPCL1;HNRNPCL3;HNRNPCL2
B8ZZL8,HSPE1;HSPE1-MOB4
I3L397,EIF5A;EIF5A2;EIF5AL1
O60506-2,SYNCRIP
P02545-6,LMNA
Q92598-2,HSPH1
A0A0U1RR32,HIST1H2AJ;HIST1H2AH;H2AFJ;HIST1H2AC;HIST3H2A;HIST1H2AD;HIST1H2AG;HIST1H2AB;HIST2H2AC;HIST2H2AA3;HIST1H2AA;HIST2H2AB
P52272,HNRNPM
B8ZZL8,HSPE1
P68104,EEF1A1
A8MUD9,RPL7
F8W6I7,HNRNPA1
J3KPS3,ALDOA
A0A0U1RR32,HIST1H2AJ;HIST1H2AH;H2AFJ;HIST2H2AC;HIST1H2AC;HIST3H2A;HIST2H2AA3;HIST1H2AD;HIST1H2AG;HIST1H2AB
P16104,H2AFX;HIST1H2AA
E7EX29,YWHAZ
I3L397,EIF5A
K7EK07,H3F3B;H3F3A;HIST2H3A;HIST3H3;HIST1H3A;H3F3C
U3KQK0,HIST1H2BN;HIST1H2BM;HIST1H2BH;HIST2H2BF;HIST1H2BC;HIST1H2BD;HIST1H2BK;H2BFS;HIST1H2BL
Q99878,HIST1H2AJ;HIST1H2AH;H2AFJ;HIST2H2AC;HIST1H2AC;HIST2H2AA3;HIST1H2AG;HIST3H2A;HIST1H2AD;HIST1H2AB
P68032,ACTC1;ACTG2;ACTA1;ACTA2
U3KQK0,HIST1H2BN;HIST1H2BM;HIST1H2BH;HIST2H2BF;HIST1H2BC;HIST1H2BD;HIST1H2BK;HIST1H2BL;H2BFS;HIST1H2BA
Q32Q12,NME1-NME2;NME2;NME2P1
P27708,CAD
P08237-2,PFKM
P09651-2,HNRNPA1;HNRNPA1L2
H0Y4R1,IMPDH2
Q99878,HIST1H2AJ;HIST1H2AH;H2AFJ;HIST2H2AC;HIST1H2AC;HIST2H2AA3;HIST1H2AG;HIST1H2AA;H2AFX
A0A0U1RR32,HIST3H2A;HIST1H2AD;HIST1H2AB;HIST1H2AJ;HIST1H2AH;H2AFJ;HIST2H2AC;HIST1H2AC;HIST2H2AA3;HIST1H2AG;HIST1H2AA
P12956-2,XRCC6
E7ERJ7,PABPC1;PABPC3
K7EK07,H3F3B;H3F3A;HIST2H3A;HIST3H3;H3F3C
U3KQK0,HIST1H2BN;HIST1H2BL;HIST1H2BM;HIST1H2BH;HIST2H2BF;HIST1H2BC;HIST1H2BD;HIST1H2BK;H2BFS
B4DUR8,CCT3
B2R5W2,HNRNPC
J3KPE3,GNB2L1
P63313,TMSB10;TMSB4X
P62913-2,RPL11
F5H018,RAN
A0A0U1RR32,HIST3H2A;HIST1H2AD;HIST1H2AB;H2AFJ
P62807,HIST1H2BC;H2BFS;HIST1H2BK;HIST1H2BN;HIST1H2BM;HIST1H2BH;HIST2H2BF;HIST1H2BD
K7EK07,H3F3B;H3F3A;H3F3C
P50991-2,CCT4
